# scenario=step-free
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0.00729999,0.5,0.494604,0.00110016,-0.10838,3.33803,10.8113,0.35816,0.343333,0.723412,0.276588
0.00734999,0.5,0.494604,0.00110036,-0.109349,3.34277,10.9012,0.364134,0.340722,0.723169,0.276831
0.00739999,0.5,0.494604,0.00110056,-0.110318,3.34752,10.9911,0.370157,0.338091,0.722911,0.277089
0.00744999,0.5,0.494605,0.00110075,-0.111287,3.35226,11.081,0.376229,0.335441,0.722637,0.277363
0.00749999,0.5,0.494605,0.00110095,-0.112256,3.357,11.1709,0.382351,0.332772,0.722349,0.277651
0.00754999,0.5,0.494605,0.00110114,-0.113226,3.36175,11.2608,0.388522,0.330084,0.722045,0.277955
0.00759999,0.5,0.494606,0.00110133,-0.114196,3.36649,11.3506,0.394742,0.327377,0.721726,0.278274
0.00764999,0.5,0.494606,0.00110154,-0.115165,3.37124,11.4405,0.401012,0.324652,0.721391,0.278609
0.00769999,0.5,0.494606,0.00110172,-0.116135,3.37598,11.5303,0.407332,0.321908,0.72104,0.27896
0.00774999,0.5,0.494606,0.00110192,-0.117106,3.38072,11.6202,0.413701,0.319146,0.720672,0.279328
0.00779999,0.5,0.494607,0.00110211,-0.118076,3.38546,11.7101,0.420119,0.316366,0.720288,0.279712
0.00784999,0.5,0.494607,0.0011023,-0.119047,3.39021,11.7999,0.426587,0.313568,0.719887,0.280113
0.00789999,0.5,0.494607,0.0011025,-0.120017,3.39495,11.8897,0.433104,0.310753,0.719469,0.280531
0.00794999,0.5,0.494608,0.00110269,-0.120988,3.39969,11.9796,0.43967,0.307921,0.719033,0.280967
0.00799999,0.5,0.494608,0.00110289,-0.121959,3.40443,12.0694,0.446286,0.305072,0.71858,0.28142
0.00804999,0.5,0.494608,0.00110309,-0.122931,3.40917,12.1592,0.452952,0.302206,0.718109,0.281891
0.00809999,0.5,0.494609,0.00110327,-0.123902,3.41391,12.2491,0.459666,0.299324,0.71762,0.28238
0.00814999,0.5,0.494609,0.00110346,-0.124874,3.41865,12.3389,0.466431,0.296426,0.717113,0.282887
0.00819999,0.5,0.494609,0.00110365,-0.125845,3.42339,12.4287,0.473244,0.293512,0.716587,0.283413
0.00824999,0.5,0.49461,0.00110384,-0.126817,3.42813,12.5185,0.480107,0.290582,0.716042,0.283958
0.00829999,0.5,0.49461,0.00110403,-0.127789,3.43287,12.6083,0.487019,0.287638,0.715478,0.284522
0.00834999,0.5,0.49461,0.00110423,-0.128761,3.43761,12.6981,0.493981,0.284892,0.715108,0.285319
0.00839999,0.5,0.494611,0.00110442,-0.129734,3.44235,12.7879,0.500992,0.283706,0.716294,0.28771
0.00844999,0.5,0.494611,0.00110462,-0.130707,3.44709,12.8777,0.508053,0.282524,0.717476,0.290138
0.00849999,0.5,0.494611,0.0011048,-0.131679,3.45183,12.9675,0.515163,0.281344,0.718656,0.292603
0.00854999,0.5,0.494612,0.001105,-0.132652,3.45657,13.0573,0.522322,0.280168,0.719832,0.295105
