# scenario=calib
t,state,theta_e_cmd,v_d,theta_m_enc,mech_accum,id,iq
0.111002,1,0,1.48069,1.24866,0,0.260464,0.0300117
0.112002,1,0,1.49402,1.24713,0,0.263313,0.0274249
0.113002,1,0,1.50735,1.24559,0,0.266113,0.0249929
0.114002,1,0,1.52069,1.24559,0,0.268865,0.0227424
0.115002,1,0,1.53402,1.24406,0,0.271569,0.0206976
0.116002,1,0,1.54736,1.24252,0,0.274227,0.0188806
0.117002,1,0,1.56069,1.24252,0,0.276841,0.0173106
0.118002,1,0,1.57402,1.24099,0,0.279416,0.0160037
0.119002,1,0,1.58736,1.24099,0,0.281954,0.0149729
0.120002,1,0,1.60069,1.24099,0,0.28446,0.0142275
0.121002,1,0,1.61402,1.23946,0,0.286938,0.0137736
0.122002,1,0,1.62736,1.23946,0,0.289391,0.0136132
0.123002,1,0,1.64069,1.23946,0,0.291823,0.013745
0.124002,1,0,1.65402,1.23946,0,0.294235,0.0141638
0.125002,1,0,1.66736,1.23946,0,0.29663,0.0148608
0.126002,1,0,1.68069,1.23946,0,0.299013,0.0153851
0.127002,1,0,1.69402,1.23946,0,0.301394,0.0154984
0.128001,1,0,1.70735,1.23946,0,0.303775,0.0155571
0.129001,1,0,1.72068,1.23946,0,0.306156,0.0156107
0.130001,1,0,1.73402,1.23792,0,0.308537,0.0156629
0.131001,1,0,1.74735,1.23792,0,0.310918,0.0157137
0.132001,1,0,1.76068,1.23792,0,0.3133,0.0157632
0.133001,1,0,1.77401,1.23792,0,0.315681,0.0158114
0.134001,1,0,1.78734,1.23792,0,0.318062,0.0158584
0.135,1,0,1.80067,1.23792,0,0.320443,0.015904
0.136,1,0,1.814,1.23792,0,0.322825,0.0159484
0.137,1,0,1.82734,1.23792,0,0.325206,0.0159914
0.138,1,0,1.84067,1.23792,0,0.327588,0.0160332
0.139,1,0,1.854,1.23792,0,0.329969,0.0160737
0.14,1,0,1.86733,1.23792,0,0.332351,0.0161128
0.141,1,0,1.88066,1.23792,0,0.334732,0.0161508
0.142,1,0,1.89399,1.23792,0,0.337114,0.0161874
0.142999,1,0,1.90733,1.23792,0,0.339496,0.0162228
0.143999,1,0,1.92066,1.23792,0,0.341878,0.0162568
0.144999,1,0,1.93399,1.23792,0,0.344259,0.0162896
0.145999,1,0,1.94732,1.23792,0,0.346641,0.0163211
