# scenario=haptic-detents
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.173995,0.111981,0.721271,0.273311,-0.0455136,0.0483991,-0.574667,-0.574116
0.174995,0.111981,0.531833,0.274882,-0.0453242,0.0488703,-0.572275,-0.573103
0.175995,0.113515,0.793549,0.276452,-0.0461995,0.0488813,-0.583327,-0.581252
0.176995,0.113515,0.585128,0.278023,-0.0459911,0.0493524,-0.580696,-0.581519
0.177995,0.115049,0.858067,0.279594,-0.0468776,0.0493634,-0.591889,-0.586494
0.178995,0.115049,0.632701,0.281164,-0.0466523,0.0498346,-0.589044,-0.589802
0.179995,0.116583,0.919951,0.282735,-0.0475531,0.0498456,-0.600418,-0.587696
0.180994,0.116583,0.678331,0.284305,-0.0473115,0.0503168,-0.597367,-0.59796
0.181994,0.118117,0.953596,0.285876,-0.0482003,0.0503277,-0.60859,-0.595886
0.182994,0.118117,0.70314,0.287447,-0.0479499,0.0507989,-0.605428,-0.606038
0.183994,0.118117,0.518464,0.289017,-0.0477652,0.0512701,-0.603096,-0.603956
0.184994,0.119651,0.737635,0.290588,-0.048598,0.0512811,-0.613611,-0.61385
0.185994,0.119651,0.5439,0.292158,-0.0484042,0.0517523,-0.611165,-0.612022
0.186994,0.121185,0.75639,0.293729,-0.0492303,0.0517632,-0.621595,-0.621841
0.187993,0.121185,0.557729,0.2953,-0.0490317,0.0522344,-0.619087,-0.619945
0.188993,0.122719,0.788914,0.29687,-0.0498764,0.0522454,-0.629753,-0.629238
0.189993,0.122719,0.58171,0.298441,-0.0496692,0.0527166,-0.627137,-0.627974
0.190993,0.124253,0.855547,0.300011,-0.0505567,0.0527275,-0.638342,-0.6329
0.191993,0.124253,0.630843,0.301582,-0.050332,0.0531987,-0.635505,-0.636214
0.192993,0.124253,0.465156,0.303152,-0.0501663,0.0536699,-0.633413,-0.634197
0.193993,0.125787,0.698328,0.304723,-0.051013,0.0536809,-0.644104,-0.644277
0.194993,0.125787,0.514916,0.306294,-0.0508296,0.0541521,-0.641788,-0.642593
0.195992,0.127321,0.757346,0.307864,-0.0516856,0.054163,-0.652597,-0.652045
0.196992,0.127321,0.558433,0.309435,-0.0514867,0.0546342,-0.650085,-0.650899
0.197992,0.128855,0.865189,0.311005,-0.0524071,0.0546452,-0.661706,-0.648888
0.198992,0.128855,0.637952,0.312576,-0.0521799,0.0551164,-0.658836,-0.659354
0.199992,0.128855,0.470398,0.314147,-0.0520123,0.0555875,-0.656721,-0.657511
0.200992,0.130389,0.72452,0.315717,-0.05288,0.0555985,-0.667677,-0.667109
0.201992,0.130389,0.534229,0.317288,-0.0526897,0.0560697,-0.665274,-0.666082
0.202992,0.131923,0.820536,0.318858,-0.0535896,0.0560807,-0.676637,-0.671183
0.203991,0.131923,0.605027,0.320429,-0.0533741,0.0565519,-0.673916,-0.674628
0.204991,0.133457,0.899545,0.322,-0.0542822,0.0565628,-0.685382,-0.672612
0.205991,0.133457,0.663285,0.32357,-0.054046,0.057034,-0.682398,-0.682965
0.206991,0.133457,0.489077,0.325141,-0.0538718,0.0575052,-0.680199,-0.681029
0.207991,0.134991,0.738293,0.326711,-0.0547346,0.0575162,-0.691093,-0.690557
0.208991,0.134991,0.544385,0.328282,-0.0545407,0.0579874,-0.688645,-0.689479
0.209991,0.136525,0.802804,0.329852,-0.0554127,0.0579983,-0.699655,-0.697583
0.21099,0.136525,0.591952,0.331423,-0.0552018,0.0584695,-0.696993,-0.697814
0.21199,0.138059,0.837879,0.332994,-0.0560613,0.0584805,-0.707845,-0.705802
0.21299,0.138059,0.617815,0.334564,-0.0558413,0.0589517,-0.705067,-0.705908
0.21399,0.139593,0.882169,0.336135,-0.0567192,0.0589627,-0.716152,-0.710759
0.21499,0.139593,0.650473,0.337705,-0.0564875,0.0594338,-0.713226,-0.71398
0.21599,0.141127,0.933055,0.339276,-0.0573837,0.0594448,-0.724542,-0.71179
0.21699,0.141127,0.687993,0.340847,-0.0571386,0.059916,-0.721448,-0.722025
0.21799,0.141127,0.507296,0.342417,-0.0569579,0.0603872,-0.719166,-0.719996
0.218989,0.142661,0.7294,0.343988,-0.0577936,0.0603981,-0.729718,-0.729934
0.219989,0.142661,0.537828,0.345558,-0.0576021,0.0608693,-0.727299,-0.728134
0.220989,0.144195,0.797969,0.347129,-0.0584758,0.0608803,-0.738331,-0.736228
0.221989,0.144195,0.588387,0.3487,-0.0582662,0.0613515,-0.735685,-0.736474
0.222989,0.145729,0.887276,0.35027,-0.0591787,0.0613625,-0.747206,-0.734401
0.223989,0.145729,0.654238,0.351841,-0.0589457,0.0618336,-0.744264,-0.744802
0.224989,0.145729,0.482406,0.353411,-0.0587738,0.0623048,-0.742094,-0.742898
0.225988,0.147263,0.711047,0.354982,-0.0596161,0.0623158,-0.752728,-0.752928
0.226988,0.147263,0.524295,0.356552,-0.0594293,0.062787,-0.75037,-0.751196
0.227988,0.148797,0.787991,0.358123,-0.0603066,0.062798,-0.761447,-0.75934
0.228988,0.148797,0.58103,0.359694,-0.0600997,0.0632691,-0.758834,-0.759623
0.229988,0.150331,0.855045,0.361264,-0.0609873,0.0632801,-0.770041,-0.764609
0.230988,0.150331,0.630473,0.362835,-0.0607627,0.0637513,-0.767206,-0.767933
0.231988,0.150331,0.464883,0.364405,-0.0605971,0.0642225,-0.765115,-0.765917
0.232988,0.151865,0.698126,0.365976,-0.0614439,0.0642334,-0.775807,-0.776
0.233987,0.151865,0.514768,0.367547,-0.0612606,0.0647046,-0.773492,-0.774315
0.234987,0.153399,0.780966,0.369117,-0.0621404,0.0647156,-0.784601,-0.782495
0.235987,0.153399,0.57585,0.370688,-0.0619353,0.0651868,-0.782011,-0.782804
0.236987,0.154932,0.851226,0.372258,-0.0628242,0.0651978,-0.793235,-0.787808
0.237987,0.154932,0.627656,0.373829,-0.0626007,0.0656689,-0.790412,-0.791147
0.238987,0.154932,0.462806,0.3754,-0.0624358,0.0661401,-0.788331,-0.789141
0.239987,0.156466,0.696595,0.37697,-0.0632832,0.0661511,-0.79903,-0.799233
0.240986,0.156466,0.513639,0.378541,-0.0631002,0.0666223,-0.79672,-0.797553
0.241986,0.158,0.756404,0.380111,-0.0639566,0.0666333,-0.807533,-0.807013
0.242986,0.158,0.557739,0.381682,-0.0637579,0.0671044,-0.805024,-0.805867
0.243986,0.159534,0.812651,0.383252,-0.0646264,0.0671154,-0.81599,-0.813922
0.244986,0.159534,0.599213,0.384823,-0.064413,0.0675866,-0.813295,-0.814116
0.245986,0.161068,0.868453,0.386394,-0.0652958,0.0675976,-0.824442,-0.819033
0.246986,0.161068,0.640359,0.387964,-0.0650677,0.0680687,-0.821562,-0.822309
0.247986,0.162602,0.925597,0.389535,-0.0659666,0.0680797,-0.832911,-0.82014
0.248985,0.162602,0.682495,0.391105,-0.0657235,0.0685509,-0.829842,-0.830419
0.249985,0.162602,0.503241,0.392676,-0.0655442,0.0690221,-0.827578,-0.828409
0.250985,0.164136,0.72641,0.394247,-0.066381,0.0690332,-0.838144,-0.838363
0.251986,0.164136,0.535623,0.395818,-0.0661902,0.0695045,-0.835735,-0.836573
0.252986,0.16567,0.772614,0.397389,-0.0670408,0.0695156,-0.846474,-0.845952
0.253986,0.16567,0.569692,0.39896,-0.0668379,0.069987,-0.843912,-0.844746
0.254986,0.167204,0.821464,0.400531,-0.0677032,0.0699981,-0.854839,-0.852757
0.255986,0.167204,0.605712,0.402102,-0.0674875,0.0704694,-0.852114,-0.852917
0.256986,0.168738,0.90005,0.403673,-0.0683954,0.0704805,-0.863578,-0.850763
0.257987,0.168738,0.663657,0.405244,-0.068159,0.0709518,-0.860593,-0.861135
0.258987,0.168738,0.489352,0.406816,-0.0679847,0.0714232,-0.858393,-0.859195
0.259987,0.170272,0.738495,0.408387,-0.0688474,0.0714343,-0.869286,-0.868726
0.260987,0.170272,0.544534,0.409958,-0.0686535,0.0719056,-0.866837,-0.867644
0.261987,0.171806,0.828135,0.411529,-0.0695507,0.0719167,-0.878165,-0.872701
0.262987,0.171806,0.61063,0.4131,-0.0693332,0.072388,-0.875419,-0.876124
0.263988,0.171806,0.450252,0.414671,-0.0691728,0.0728593,-0.873394,-0.874181
0.264988,0.17334,0.709665,0.416242,-0.0700458,0.0728705,-0.884417,-0.883845
0.265988,0.17334,0.523276,0.417813,-0.0698594,0.0733418,-0.882063,-0.882869
0.266988,0.174874,0.787239,0.419384,-0.070737,0.0733529,-0.893143,-0.891053
0.267988,0.174874,0.580476,0.420955,-0.0705302,0.0738242,-0.890533,-0.89134
0.268988,0.176408,0.854637,0.422526,-0.071418,0.0738353,-0.901742,-0.896325
0.269989,0.176408,0.630171,0.424097,-0.0711935,0.0743067,-0.898908,-0.899654
0.270989,0.177942,0.918085,0.425668,-0.072095,0.0743178,-0.91029,-0.897512
0.271989,0.177942,0.676956,0.427239,-0.0718539,0.0747891,-0.907246,-0.90783
0.272989,0.177942,0.499157,0.42881,-0.0716761,0.0752604,-0.905001,-0.905841
0.273989,0.179476,0.745726,0.430381,-0.0725362,0.0752715,-0.915861,-0.915336
0.274989,0.179476,0.549865,0.431952,-0.0723404,0.0757429,-0.913388,-0.914227
0.27599,0.18101,0.783116,0.433524,-0.0731872,0.075754,-0.924081,-0.923589
0.27699,0.18101,0.577435,0.435095,-0.0729815,0.0762253,-0.921484,-0.922344
