# scenario=openloop
t,theta_e_cmd,theta_e_true,slip,id,iq,omega
0.177995,4.38406,4.51899,-0.134925,0.303665,-0.0467559,-5.56511
0.178495,4.38406,4.48847,-0.104404,0.316135,0.00703377,-5.51616
0.178995,4.58406,4.45842,0.12564,0.31885,0.0345196,-5.40342
0.179495,4.58406,4.42924,0.154824,0.317179,0.0877765,-5.19371
0.179995,4.78406,4.40141,0.382653,0.312785,0.112817,-4.92326
0.180494,4.78406,4.37529,0.408776,0.297684,0.161474,-4.56363
0.180994,4.98406,4.35132,0.632743,0.28718,0.182025,-4.15125
0.181494,4.98406,4.32981,0.654256,0.260688,0.222829,-3.66376
0.181994,5.18406,4.31112,0.872947,0.245741,0.237615,-3.13506
0.182494,5.18406,4.29547,0.888591,0.210739,0.26853,-2.54938
0.182994,5.38406,4.28315,1.10091,0.193288,0.277174,-1.9357
0.183494,5.38406,4.27429,1.10977,0.152924,0.297452,-1.28481
0.183994,5.58406,4.26908,1.31499,0.134802,0.300373,-0.619001
0.184494,5.58406,4.26756,1.3165,0.0920049,0.310373,0.0522596
