# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.106002,0.549167,4.92472,0.579195,-0.00492472,0.00900863,-0.0621808,-0.0613696
0.107002,0.553769,4.81463,0.584528,-0.00481463,0.00922775,-0.0607908,-0.0635815
0.108002,0.559905,5.16315,0.589856,-0.00516315,0.00898558,-0.0651913,-0.0629724
0.109002,0.564506,5.03957,0.595181,-0.00503957,0.00920248,-0.063631,-0.0630106
0.110002,0.570642,5.35275,0.600503,-0.00535275,0.00895808,-0.0675852,-0.0648018
0.111002,0.575244,5.17937,0.60582,-0.00517937,0.00917271,-0.0653961,-0.064947
0.112002,0.579846,5.0024,0.611134,-0.0050024,0.00938621,-0.0631616,-0.0662575
0.113002,0.585982,5.27638,0.616443,-0.00527639,0.00913836,-0.066621,-0.0661308
0.114002,0.592118,5.52736,0.621749,-0.00552736,0.00888932,-0.0697899,-0.0672494
0.115002,0.59672,5.30812,0.627051,-0.00530812,0.00909932,-0.0670218,-0.0667568
0.116002,0.602856,5.52703,0.632349,-0.00552703,0.00884791,-0.0697858,-0.0679789
0.117002,0.607458,5.28108,0.637643,-0.00528108,0.00905551,-0.0666803,-0.0697212
0.118002,0.613594,5.48187,0.642933,-0.00548187,0.00880172,-0.0692155,-0.0689666
0.119002,0.61973,5.67887,0.648219,-0.00567888,0.0085467,-0.071703,-0.0693411
0.120002,0.624332,5.39304,0.653501,-0.00539304,0.00875064,-0.0680939,-0.0712293
0.121002,0.630468,5.58965,0.658778,-0.00558965,0.00849316,-0.0705763,-0.0689097
0.122002,0.636604,5.75834,0.664052,-0.00575834,0.00823442,-0.0727064,-0.070366
0.123002,0.641206,5.45164,0.669321,-0.00545164,0.00843464,-0.0688338,-0.0720084
0.124002,0.647342,5.63285,0.674586,-0.00563285,0.00817337,-0.0711219,-0.0694738
0.125002,0.653478,5.7902,0.679847,-0.0057902,0.00791082,-0.0731086,-0.0707692
0.126002,0.65808,5.50193,0.685103,-0.00550193,0.00810696,-0.0694688,-0.0693494
0.127002,0.664216,5.66994,0.690354,-0.00566994,0.00784158,-0.0715901,-0.0698527
0.128001,0.668817,5.38645,0.695601,-0.00538645,0.00803509,-0.0680107,-0.0710623
0.129001,0.674953,5.58479,0.700844,-0.00558479,0.00776712,-0.070515,-0.0687367
