# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-2.23367,0,0.1,0,0.0557109,-0.00416067,0.1
-2.23053,0,0.1,0,0.0544542,-0.00261109,0.1
-2.22739,0,0.1,0,0.0531976,-0.00104667,0.1
-2.22425,0,0.1,0,0.0519409,0.000523615,0.1
-2.22111,0,0.1,0,0.0506844,0.00209085,0.1
-2.21796,0,0.1,0,0.0494277,0.00364628,0.1
-2.21482,0,0.1,0,0.0481711,0.00518091,0.1
-2.21168,0,0.1,0,0.0469145,0.00668626,0.1
-2.20854,0,0.1,0,0.0456578,0.00815361,0.1
-2.2054,0,0.1,0,0.0444012,0.00957456,0.1
-2.20226,0,0.1,0,0.0431446,0.010941,0.1
-2.19912,0,0.1,0,0.041888,0.0122454,0.1
-2.19597,0,0.1,0,0.0406313,0.0134803,0.1
-2.19283,0,0.1,0,0.0393746,0.0146385,0.1
-2.18969,0,0.1,0,0.038118,0.0157136,0.1
-2.18655,0,0.1,0,0.0368613,0.0166993,0.1
-2.18341,0,0.1,0,0.0356048,0.0175901,0.1
-2.18027,0,0.1,0,0.0343481,0.018381,0.1
-2.17712,0,0.1,0,0.0330915,0.0190675,0.1
-2.17398,0,0.1,0,0.0318348,0.0196456,0.1
-2.17084,0,0.1,0,0.0305781,0.0201121,0.1
-2.1677,0,0.1,0,0.0293215,0.0204643,0.1
-2.16456,0,0.1,0,0.0280649,0.0207002,0.1
-2.16142,0,0.1,0,0.0268083,0.0208185,0.1
-2.15827,0,0.1,0,0.0255516,0.0208185,0.1
-2.15513,0,0.1,0,0.0242949,0.0207002,0.1
-2.15199,0,0.1,0,0.0230383,0.0204643,0.1
-2.14885,0,0.1,0,0.0217816,0.0201121,0.1
-2.14571,0,0.1,0,0.0205251,0.0196456,0.1
-2.14257,0,0.1,0,0.0192684,0.0190675,0.1
-2.13942,0,0.1,0,0.0180118,0.0183811,0.1
-2.13628,0,0.1,0,0.0167551,0.0175901,0.1
-2.13314,0,0.1,0,0.0154984,0.0166992,0.1
-2.13,0,0.1,0,0.014242,0.0157137,0.1
-2.12686,0,0.1,0,0.0129853,0.0146386,0.1
-2.12372,0,0.1,0,0.0117287,0.0134804,0.1
-2.12058,0,0.1,0,0.010472,0.0122456,0.1
-2.11743,0,0.1,0,0.00921535,0.0109412,0.1
-2.11429,0,0.1,0,0.0079587,0.00957457,0.1
-2.11115,0,0.1,0,0.00670214,0.00815369,0.1
-2.10801,0,0.1,0,0.00544548,0.00668642,0.1
-2.10487,0,0.1,0,0.00418882,0.00518115,0.1
-2.10173,0,0.1,0,0.00293217,0.00364636,0.1
-2.09858,0,0.1,0,0.00167551,0.00209085,0.1
-2.09544,0,0.1,0,0.000418854,0.000523541,0.1
-2.0923,0,0.1,0,-0.000837708,-0.00104666,0.1
-2.08916,0,0.1,0,-0.00209436,-0.002611,0.1
-2.08602,0,0.1,0,-0.00335102,-0.00416058,0.1
-2.08288,0,0.1,0,-0.00460768,-0.00568652,0.1
-2.07973,0,0.1,0,-0.00586433,-0.00718007,0.1
-2.07659,0,0.1,0,-0.00712099,-0.00863282,0.1
-2.07345,0,0.1,0,-0.00837755,-0.0100364,0.1
-2.07031,0,0.1,0,-0.00963421,-0.0113832,0.1
-2.06717,0,0.1,0,-0.0108909,-0.0126652,0.1
-2.06403,0,0.1,0,-0.0121475,-0.0138753,0.1
-2.06088,0,0.1,0,-0.0134042,-0.0150064,0.1
