# scenario=haptic-spring
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.141,0.507749,3.53363,0.642928,-0.0375322,0.0405538,-0.473891,-0.476476
0.142,0.510817,3.36228,0.647182,-0.0373736,0.0409096,-0.471889,-0.478434
0.142999,0.515419,3.68937,0.65143,-0.0383039,0.0408032,-0.483635,-0.477362
0.143999,0.518487,3.52467,0.655671,-0.0381585,0.0411552,-0.4818,-0.484352
0.144999,0.521555,3.35567,0.659905,-0.0380046,0.0415051,-0.479857,-0.486375
0.145999,0.526157,3.68449,0.664133,-0.0389384,0.0413929,-0.491646,-0.485351
0.146999,0.529225,3.52107,0.668355,-0.0387956,0.041739,-0.489844,-0.492377
0.147999,0.532293,3.35302,0.67257,-0.0386436,0.0420831,-0.487924,-0.494426
0.148999,0.536895,3.68254,0.676778,-0.0395788,0.041965,-0.499732,-0.493421
0.149999,0.539963,3.51963,0.68098,-0.039437,0.0423051,-0.497942,-0.500459
0.150998,0.543031,3.37718,0.685174,-0.0393362,0.0426431,-0.496669,-0.499875
0.151998,0.547633,3.70035,0.689362,-0.0402587,0.042519,-0.508316,-0.50193
0.152998,0.550701,3.55957,0.693544,-0.0401612,0.042853,-0.507086,-0.502423
0.153998,0.553769,3.42896,0.697718,-0.040084,0.0431849,-0.506111,-0.508452
0.154998,0.556837,3.2851,0.701886,-0.0399804,0.0435148,-0.504803,-0.511101
0.155998,0.561439,3.63246,0.706046,-0.0409512,0.0433824,-0.517061,-0.51059
0.156998,0.564506,3.4827,0.7102,-0.0408358,0.0437081,-0.515603,-0.518
0.157997,0.567574,3.37228,0.714347,-0.040799,0.0440317,-0.515139,-0.517527
0.158997,0.572176,3.69674,0.718486,-0.0417241,0.043893,-0.526819,-0.52037
0.159997,0.575244,3.58063,0.722619,-0.0416759,0.0442124,-0.526211,-0.519986
0.160997,0.578312,3.44449,0.726744,-0.0415877,0.0445296,-0.525097,-0.527401
0.161997,0.58138,3.32178,0.730862,-0.0415264,0.0448447,-0.524323,-0.52735
0.162997,0.585982,3.6595,0.734974,-0.0424779,0.0446974,-0.536337,-0.52981
0.163997,0.58905,3.52945,0.739077,-0.0424019,0.0450081,-0.535378,-0.530603
0.164997,0.592118,3.40675,0.743174,-0.0423406,0.0453167,-0.534603,-0.536854
0.165996,0.595186,3.29395,0.747263,-0.0422991,0.045623,-0.534079,-0.53702
0.166996,0.599788,3.63898,0.751345,-0.0432652,0.045467,-0.546278,-0.539681
0.167996,0.602856,3.51432,0.755419,-0.0432,0.0457689,-0.545454,-0.540624
0.168996,0.605924,3.39559,0.759486,-0.0431466,0.0460686,-0.544781,-0.546987
0.169996,0.608992,3.28572,0.763545,-0.043111,0.046366,-0.54433,-0.547235
0.170996,0.613594,3.63291,0.767597,-0.0440815,0.046201,-0.556584,-0.549955
0.171996,0.616662,3.53357,0.771642,-0.0440669,0.0464939,-0.5564,-0.550006
0.172995,0.61973,3.4366,0.775678,-0.044057,0.0467845,-0.556275,-0.55124
0.173995,0.622798,3.33828,0.779707,-0.0440444,0.0470728,-0.556117,-0.558151
0.174995,0.625866,3.24346,0.783729,-0.0440389,0.0473588,-0.556046,-0.558821
0.175995,0.630468,3.60175,0.787742,-0.0450316,0.0471823,-0.56858,-0.561853
0.176995,0.633536,3.5106,0.791748,-0.0450333,0.0474637,-0.568603,-0.562133
0.177995,0.636604,3.39285,0.795746,-0.0449819,0.0477427,-0.567954,-0.570062
0.178995,0.639672,3.30603,0.799736,-0.0449924,0.0480194,-0.568085,-0.570228
0.179995,0.64274,3.21968,0.803718,-0.0450037,0.0482936,-0.568229,-0.570934
0.180994,0.647342,3.58422,0.807693,-0.0460089,0.0481054,-0.580921,-0.574128
0.181994,0.65041,3.49767,0.811659,-0.0460199,0.0483749,-0.581059,-0.574536
0.182994,0.653478,3.41012,0.815618,-0.0460289,0.048642,-0.581173,-0.576034
0.183994,0.656546,3.31876,0.819568,-0.0460303,0.0489067,-0.58119,-0.583139
0.184994,0.659614,3.2514,0.82351,-0.0460796,0.049169,-0.581813,-0.58379
0.185994,0.662682,3.1794,0.827444,-0.0461197,0.0494288,-0.582319,-0.584895
0.186994,0.667283,3.55451,0.83137,-0.047146,0.049226,-0.595278,-0.588385
0.187993,0.670351,3.47577,0.835288,-0.0471726,0.049481,-0.595614,-0.589011
