# scenario=load
t,iq_ref,iq,tau_e,tau_load,omega,theta_m
0.0159,0.4,0.395815,0.0313487,0,21.9976,0.172616
0.01595,0.4,0.395816,0.0313488,0,22.0674,0.173718
0.016,0.4,0.395816,0.0313488,0,22.1371,0.174823
0.01605,0.4,0.395816,0.0313488,0,22.2069,0.175932
0.0161,0.4,0.395816,0.0313488,0,22.2766,0.177044
0.01615,0.4,0.395817,0.0313488,0,22.3464,0.17816
0.0162,0.4,0.395817,0.0313489,0,22.4161,0.179279
0.01625,0.4,0.395817,0.0313489,0,22.4859,0.180402
0.0163,0.4,0.395817,0.0313489,0,22.5557,0.181528
0.01635,0.4,0.395817,0.0313489,0,22.6254,0.182658
0.0164,0.4,0.395818,0.0313489,0,22.6951,0.183791
0.01645,0.4,0.395818,0.0313489,0,22.7649,0.184928
0.0165,0.4,0.395818,0.031349,0,22.8346,0.186068
0.01655,0.4,0.395818,0.031349,0,22.9043,0.187212
0.0166,0.4,0.395819,0.031349,0,22.9741,0.188359
0.01665,0.4,0.395819,0.031349,0,23.0438,0.18951
0.0167,0.4,0.395819,0.031349,0,23.1135,0.190664
0.01675,0.4,0.395819,0.031349,0,23.1832,0.191821
0.0168,0.4,0.39582,0.0313491,0,23.2529,0.192982
0.01685,0.4,0.39582,0.0313491,0,23.3226,0.194147
0.0169,0.4,0.39582,0.0313491,0,23.3923,0.195315
0.01695,0.4,0.39582,0.0313491,0,23.462,0.196486
0.017,0.4,0.39582,0.0313491,0,23.5317,0.197661
0.01705,0.4,0.395821,0.0313491,0,23.6014,0.19884
0.0171,0.4,0.395821,0.0313492,0,23.6711,0.200022
0.01715,0.4,0.395821,0.0313492,0,23.7408,0.201207
0.0172,0.4,0.395821,0.0313492,0,23.8105,0.202396
0.01725,0.4,0.395822,0.0313492,0,23.8802,0.203589
0.0173,0.4,0.395822,0.0313492,0,23.9499,0.204785
0.01735,0.4,0.395822,0.0313492,0,24.0195,0.205984
0.0174,0.4,0.395822,0.0313493,0,24.0892,0.207187
0.01745,0.4,0.395822,0.0313493,0,24.1589,0.208393
0.0175,0.4,0.395823,0.0313493,0,24.2285,0.209603
0.01755,0.4,0.395823,0.0313493,0,24.2982,0.210817
0.0176,0.4,0.395823,0.0313493,0,24.3679,0.212033
0.01765,0.4,0.395823,0.0313493,0,24.4375,0.213254
0.0177,0.4,0.395824,0.0313494,0,24.5072,0.214478
0.01775,0.4,0.395824,0.0313494,0,24.5768,0.215705
0.0178,0.4,0.395824,0.0313494,0,24.6464,0.216936
0.01785,0.4,0.395824,0.0313494,0,24.7161,0.21817
0.0179,0.4,0.395825,0.0313494,0,24.7857,0.219408
0.01795,0.4,0.395825,0.0313494,0,24.8554,0.220649
0.018,0.4,0.395825,0.0313495,0,24.925,0.221893
